title,content,date,source,id,keyword/weight
木聚糖酶对尼罗罗非鱼血液生理生化指标的影响,"在小麦基础饲料中分别添加质量分数为0.05%、0.10%、0.15%的木聚糖酶,饲喂尼罗罗非鱼Tila-pia nilotica75 d后,测定其血液生理生化指标,探讨木聚糖酶促进尼罗罗非鱼生长的机理。结果表明:0.10%木聚糖酶浓度组鱼的红细胞（RBC）数量、血红蛋白（HGB）含量及平均红细胞血红蛋白（MCH）含量极显著高于对照组（P＜0.01）;0.10%浓度组鱼血清中K+的水平极显著高于对照组（P＜0.01）,3个试验组鱼血清中Na+的水平均显著高于对照组（P＜0.05）,0.05%、0.10%浓度组鱼血清中C l-的水平显著高于对照组（P＜0.05）;3个试验组鱼血清中谷丙转氨酶（ALT）的含量极显著高于对照组（P＜0.01）,0.05%组鱼血清中总蛋白（TP）和白蛋白（ALB）的含量显著高于对照组（P＜0.05）,0.10%组鱼血清中TP和ALB的含量极显著高于对照组（P＜0.01）;0.10%组鱼血清中球蛋白（GLO）的含量极显著高于对照组（P＜0.01）,0.10%组鱼血清中甘油三脂（TR IG）的含量极显著高于对照组（P＜0.01）,0.05%组和0.15%组鱼血清中T... ",2007/10/15,大连水产学院学报,cnki127793,尼罗罗非鱼|1.0
镉胁迫下鬼针草的转录组分析及SSR分子标记开发,"鬼针草（Bidens bipinnata L.）是一种典型的Cd超富集植物,对Cd具有很强的富集能力,并且其还是一种重要的药用植物,药用历史悠远,功效甚多。但因生存环境的差异使其在形态上产生诸多变异。属内不同种类鬼针草之间单从外形上很难区分,严重影响几类主要药用鬼针草属植物的用药安全。通过转录组测序,比较镉诱导与正常条件下地下根部组织转录组的基因表达差异。同时基于转录组,利用转录组的数据,进行开发简单重复序列（simple sequence repeat,SSR）标记,从而用于区分鬼针草属的不同植物,对解决鬼针草属植物难以区分的问题具有指导意义。本研究利用IlluminaHiSeq TM 2000高通量测序平台,对镉胁迫条件下鬼针草的根部组织进行转录组测序。利用Trinity软件对鬼针草转录组数据进行组装,共得到120 122条unigenes。将其与GO（Gene Ontology）、KO（Kyoto Encyclopedia of Genes and Genomes Ontology）、KOG（lusters of Karyotic Orthologous Groups）、NR（R... ",2019/5/30,沈阳师范大学,cnki161274,鬼针草|1.0
河南省豚草的发生、扩散及防治,"豚草是由国外传入中国的有害杂草,目前在我国已蔓延至15个省、市和自治区。2000年,我们研究团队在河南省新县首次发现豚草;2009年,豚草蔓延至罗山县,2013年豚草在光山县建立了大面积的单优群落。河南是我国农业的大省,为了保障粮食安全,需要对恶性入侵杂草豚草进行防治。本文主要研究豚草在河南地区的入侵原因、扩散途径及防控方向,其结果如下:1通过研究不同豚草居群的亲缘关系,分析河南豚草的主要来源。实验选择豫南地区作为豚草入侵机制研究的天然实验场,利用分子标记方法比较不同豚草居群之间的核基因差异,进行系统学研究。结果发现河南的豚草分为湖北、江西、罗山和南向店乡等三个分支。其中湖北分支中包含光山泼河镇豚草居群（采集于泼河高速铁路涂围孜村）、光山槐店乡豚草居群、光山泼河镇至晏河乡的豚草居群,它们与湖北红安县七里坪镇的豚草居群有较近的亲缘关系,极可能由湖北红安县传播至河南,进而传播至光山泼河镇和槐店乡;在调查中,我们发现豚草在Y219、Y339、Y213乡道分布较为集中,说明豚草是沿着公路进行扩散。由于当地乡道公路两侧多为农田景观,乡道公路两侧的绿化带并疏于管理,给豚草较多的生长机会。在大广高速... ",2019/5/1,河南农业大学,cnki161276,豚草|1.0
深圳市龙华区微型消防站参与应急管理问题研究,"改革开放后,我国城市化进程井喷式推进,大城市高层建筑、工业区、商业综合体、大型地下空间的大量涌现,基础设施落后,对城市火灾应急管理提出挑战,包括政府在内的任何一个公共组织的力量无法单独满足突发事件应急管理的所有需求。在探索建立“网格化”消防管理模式的同时,2015年我国原公安部提出“微型消防站”概念和建设要求。微型消防站凭借其地理优越性,在特殊情况下（特别是在交通、信息中断情况下）,能比专业救援人员更加快速作出应急响应工作和组织群众疏散工作,提供初期救援、现场侦查和清理、疏散与安置群众、院前急救和应急物资运送等服务。提高微型消防站消防队伍的应急响应能力,有助于最大限度地减少受灾者的生命和财产损失。本文采用危机管理4R理论,综合运用文献分析法、访谈法、案例分析法,结合工作实际,以深圳市龙华区的微型消防站建设情况为研究对象,重点调查大浪街道微型消防站的建设和运营情况,分析其是否在危机管理缩减阶段、预备阶段、反应阶段和恢复阶段起到应有的作用,并讨论其存在的问题和提出改进建议。本研究在提升城市应急管理能力、完善政府公共服务能力方面具有一定的实践意义和参考价值。 ",2019/6/30,深圳大学,cnki161277,大浪|1.0
WRF与CFD嵌套的局地台风风场数值模拟研究,"在我国每年都会遭受数十个台风的袭击,由台风引起的暴雨、强风以及海浪潮等对我国东南沿海地区（特别是经济发达地区）造成严重威胁。为了提高预防台风灾害能力,减小台风造成的损失,需要获取近地面台风风场信息,为台风风险分析以及台风作用下建构筑物抗风设计等提供条件。由于台风路径的不确定性和测试仪器的限制,实测获得台风风场往往是不现实的。最新一代中尺度天气预报和数据同化系统Weather Research and Forecast（WRF）代表了当前中尺度模式领域最新的科研成果,它包括了目前最全面的大气物理过程和更为优化的动力框架,这使得WRF的应用前景将会更加广阔。本文采用WRF模式对历史上登陆我国东南沿海地区的三个台风案例做了数值模拟,并利用WRF模拟获得的数据为计算流体力学（CFD）模型提供初始条件,以实现两个不同尺度模式之间的嵌套运算,完成台风风场精细化降尺度模拟,获得考虑局部地形影响的台风风场。本文介绍了中尺度WRF模式及其台风模拟的数值计算方案;针对局地地形台风风场模拟,结合CFD模型,提出了WRF和CFD嵌套的数值计算方案。采用WRF模式中的三种边界层方案,即YSU方案、Mellor-... ",2015/6/1,哈尔滨工业大学,cnki163447,"暴雨,台风|0.06666666666666667,0.9333333333333333"
气候变化对内蒙古草原优势牧草生长发育的影响,"全球气候变化对草原生态系统的影响早已成为国内外科学家研究的热点问题,大量的证据表明,气候暖干化趋势已经给自然植被带来不可忽视的影响。内蒙古草原作为我国的重要草原之一,属于气候变化响应敏感区和脆弱带,草场退化和草地生产力下降已成为不争的事实。因此,探索气候变化对内蒙古草原牧草生长发育的影响,将有利于提高对草地资源潜力的认识,这对合理利用和开发草地资源,发展地方经济具有重要的意义和作用。本文以内蒙古草原牧草生长发育状况为研究对象,利用81个气象站50年的气象资料、8个牧业气象站27年及24个生态站从2004年开始的牧草观测资料,采用对比分析和数理统计方法分析气候变化对牧草生长发育的影响,得到的初步结果为:（1）50年间内蒙古地区气候变化以气温升高趋势为主,降水量虽有减少趋势,但不十分明显。气候变暖比气候暖干化趋势强度大。气温在时间尺度上从20世纪90年代以来迅速增加,牧草生长季增温幅度较小;降水量春季有微增态势,牧草生长旺季6～8月降水总量呈减少趋势且减少幅度较大。（2）气候变暖导致草甸草原牧草返青日期提前、枯黄期推迟、生长季延长;典型草原气候暖干化导致牧草返青、枯黄期提前,多数牧草生长季... ",2014/10/1,内蒙古农业大学,cnki163448,"气候变暖,气候变化|0.2857142857142857,0.7142857142857143"
中国式财政分权、政府行为与环境污染问题研究,"政治集权与经济分权相结合的中国式财政分权模式,带来了改革开放后我国经济的高速发展。但受政治晋升与经济利益双重激励的驱使,我国增长型地方政府在实际区域治理中往往降低环境监管标准,以牺牲环境为代价谋取短期的经济增长。本文基于现有研究的基础,从制度层面剖析了中国式财政分权导致我国环境污染的内在逻辑,着重分析了该体制下政府的竞争与支出行为对环境污染的影响机理,随后应用我国2003年至2014年的省级面板数据对理论分析进行实证检验,最终得出如下结论:（1）中国式财政分权是导致我国生态环境恶化的重要体制性因素,随着财政分权度的提高,各省工业废弃物污染水平也显著提升;（2）从影响路径来看,受政治晋升与财税激励的双重影响,地方政府竞争的加剧与财政支出规模的扩大均会致使污染物排放量的增加;（3）中国式财政分权对环境污染的影响存在较大的区域差异,受经济发展水平的作用,中西部地区表现出明显的正向关系,而对东部地区的影响却不显著。本文认为,要想解决上述问题必须要完善现下的财政分权制度,改进不合理的激励约束机制,以最大程度发挥地方政府的环境保护职能。具体政策建议包括:首先,在财政体制安排上,建立健全权责对等的财... ",2016/9/1,苏州大学,cnki163449,环境污染|1.0
开发建设项目集中区域水土流失状况调查及防治建议——以敖江连江县贵安段为例,"随着城市化进程的加快,开发建设项目集中区域水土流失日趋严重。本文以敖江连江县贵安段为例进行调查,结果表明开发建设项目是区域水土流失加剧、河道泥沙含量增大、水域浑浊的主要原因,并针对性地提出了预防和治理建议。 ",2015/12/31,亚热带水土保持,cnki163686,水土流失|1.0
栾川县暴雨泥石流预警模型研究——以“7.24”暴雨泥石流为例,"以栾川县2010年7月24日暴雨泥石流为研究对象,对单沟泥石流进行预警研究。在参考前人研究成果及野外调查分析的基础上,结合栾川县降雨资料分析结果,选取前5d间接雨量、24h最大降雨量、1h最大降雨量、松散物质储量、山坡坡度、沟床比降、沟床弯曲系数、补给长度比和植被覆盖率9个指标,建立了基于地质背景条件与降雨因素相耦合的泥石流预警模型。采用三标度AHP法对相关因子进行赋权,采用功效系数法确定预警因子的单项功效系数,并加权求和确定总功效系数,根据总功效系数与泥石流预警等级的对应关系,对研究区单沟泥石流进行预警。预警结果基本符合""7.24""特大暴雨下的泥石流历史灾害发生规律,表明此预警模型是合理的,适用于对栾川地区泥石流预警。 ",2014/3/26,广东水利水电,cnki163687,"暴雨,泥石流|0.2222222222222222,0.7777777777777778"
外商直接投资对雾霾污染的时空传导效应——基于SpVAR模型的实证分析,"本文从卫星遥感数据中提取出中国220个地级市1998—2010年间的PM2.5浓度值,基于Sp VAR模型研究外商直接投资对雾霾污染的时空传导效应。研究结果表明:外商直接投资对雾霾污染的皆具时间滞后性和空间溢出性,期初在全国层面上呈现""污染天堂""效应,但在第6期转为""污染光环""效应;分样本结果显示外商直接投资在中国地区间同时存在着""污染天堂""以及""污染光环""效应,其中对东部地区雾霾污染的负面影响最大、持续时间最久,西部地区次之,而中部地区在期初存在一定的改善作用;政府在防治雾霾污染时需要因地制宜,适时介入引资项目的环境监管工作。 ",2017/9/15,国际贸易问题,cnki163689,雾霾|1.0
河北省荒漠化土地特点及防治建议,"河北省荒漠化土地面积大、分布广。在各种土地利用类型中,耕地荒漠化面积最大,但荒漠化程度最高的是草地。由于河北省地处干旱、半干旱过渡地带荒漠化敏感区,其荒漠化土地的特点也受其特有的自然、历史和社会环境所决定,荒漠化土地的类型、程度和分布有其自己的规律。分析研究和掌握荒漠化土地发生发展的自然规律,有助于更好的预防和治理荒漠化。虽然目前河北省总体沙漠化程度尚轻,但仍需提高重视,坚持因地制宜、多重效益并重的原则,加大投资力度,调整产业结构,科技兴农治沙,以确保河北省及京津地区的生态安全。 ",2008/6/15,河北林果研究,cnki163690,"荒漠化,干旱,沙漠化|0.7272727272727273,0.18181818181818182,0.09090909090909091"
